Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Rural,Within the premises,"12,645","8,289","3,289",57,279,210,521, NaN   , NaN   , NaN   , NaN   
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Rural,Near the premises,"27,915","10,729","8,057",149,"1,577","4,469","2,089",10,397,358,80
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Rural,Away,"19,103","3,930","2,859",174,"2,753","6,701","2,192",9,65,239,181
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Urban,Total,"6,180","4,336",260,28,222,771,378, NaN   , NaN   ,4,181
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Urban,Within the premises,"2,504","2,236",94,8,77,23,66, NaN   , NaN   , NaN   , NaN   
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Urban,Near the premises,"1,685","1,150",132,5,105,88,111, NaN   , NaN   , NaN   ,94
HH2206,29,557,5452,0,SubDistrict  Basavana Bagevadi,Urban,Away,"1,991",950,34,15,40,660,201, NaN   , NaN   ,4,87
HH2206,29,557,5452,803054,Basavana Bagevadi (TMC),Urban,Total,"6,180","4,336",260,28,222,771,378, NaN   , NaN   ,4,181
HH2206,29,557,5452,803054,Basavana Bagevadi (TMC),Urban,Within the premises,"2,504","2,236",94,8,77,23,66, NaN   , NaN   , NaN   , NaN   
HH2206,29,557,5452,803054,Basavana Bagevadi (TMC),Urban,Near the premises,"1,685","1,150",132,5,105,88,111, NaN   , NaN   , NaN   ,94
HH2206,29,557,5452,803054,Basavana Bagevadi (TMC),Urban,Away,"1,991",950,34,15,40,660,201, NaN   , NaN   ,4,87
